fitness max,fitness min,fitness mean
 0.357593, 0.113376, 0.209692
 0.361785, 0.113991, 0.215259
 0.361785, 0.115940, 0.219592
 0.361785, 0.126854, 0.223144
 0.374371, 0.114431, 0.227070
 0.380101, 0.116924, 0.229141
 0.380101, 0.121669, 0.233231
 0.385202, 0.126089, 0.235840
 0.385202, 0.113201, 0.242601
 0.385202, 0.134008, 0.243139
 0.389651, 0.134509, 0.245556
 0.409571, 0.134711, 0.249739
 0.409571, 0.135618, 0.254425
 0.409571, 0.131227, 0.255505
 0.409571, 0.148738, 0.256157
 0.409571, 0.126471, 0.258824
 0.409571, 0.154710, 0.261611
 0.421959, 0.146573, 0.264329
 0.421959, 0.127238, 0.265892
 0.421959, 0.152144, 0.267705
 0.421959, 0.134711, 0.272450
 0.421959, 0.148086, 0.274452
 0.422963, 0.136734, 0.278883
 0.422963, 0.158339, 0.281059
 0.422963, 0.147652, 0.283653
 0.422963, 0.165090, 0.286481
 0.431573, 0.172559, 0.291984
 0.433363, 0.159833, 0.291924
 0.431573, 0.150159, 0.295757
 0.431573, 0.166158, 0.297186
 0.431573, 0.164381, 0.301615
 0.436961, 0.164854, 0.301563
 0.436961, 0.168912, 0.300674
 0.440063, 0.159257, 0.302271
 0.440063, 0.164499, 0.305431
 0.431573, 0.164972, 0.304532
 0.448423, 0.162036, 0.307929
 0.450797, 0.165801, 0.309500
 0.450797, 0.150818, 0.312716
 0.450797, 0.150818, 0.312716
 0.450797, 0.175398, 0.313506
 0.452651, 0.176144, 0.318622
 0.452651, 0.171093, 0.320354
 0.452651, 0.173173, 0.323529
 0.452651, 0.179789, 0.328317
 0.452651, 0.193895, 0.328114
 0.463899, 0.184526, 0.334110
 0.463899, 0.189759, 0.332728
 0.463899, 0.192018, 0.334886
 0.463899, 0.200581, 0.337047
 0.466339, 0.211458, 0.340014
 0.466339, 0.200028, 0.343367
 0.478690, 0.208303, 0.344764
 0.478690, 0.210450, 0.345181
 0.478690, 0.202106, 0.347393
 0.478690, 0.213195, 0.349392
 0.478690, 0.213195, 0.349392
 0.478690, 0.236357, 0.349432
 0.481469, 0.221451, 0.352285
 0.481469, 0.175398, 0.354512
 0.478690, 0.219363, 0.354451
 0.478690, 0.228884, 0.355697
 0.478690, 0.185563, 0.357582
 0.478690, 0.232130, 0.360367
 0.479522, 0.225219, 0.360209
 0.484542, 0.228730, 0.361067
 0.492151, 0.233532, 0.362572
 0.492151, 0.246950, 0.362810
 0.492151, 0.233376, 0.361695
 0.492151, 0.245972, 0.362169
 0.492151, 0.245321, 0.361804
 0.492151, 0.208018, 0.364798
 0.493002, 0.226283, 0.366135
 0.493002, 0.238573, 0.365806
 0.493002, 0.206174, 0.366798
 0.496134, 0.203222, 0.368915
 0.506493, 0.229808, 0.370013
 0.506493, 0.215528, 0.370398
 0.527732, 0.244186, 0.372364
 0.527732, 0.245972, 0.370755
 0.527732, 0.248752, 0.373639
 0.527732, 0.249739, 0.376362
 0.527732, 0.251557, 0.375610
 0.527732, 0.223253, 0.375325
 0.527732, 0.238255, 0.377578
 0.527732, 0.225674, 0.379986
 0.527732, 0.233688, 0.379100
 0.527732, 0.235098, 0.380076
 0.527732, 0.245809, 0.380000
 0.527732, 0.226893, 0.384433
 0.527732, 0.249739, 0.383888
 0.527732, 0.241928, 0.386550
 0.529233, 0.243378, 0.386024
 0.529233, 0.255561, 0.388641
 0.529233, 0.237780, 0.388254
 0.529233, 0.236199, 0.390705
 0.529233, 0.240006, 0.389996
 0.529233, 0.269100, 0.390401
 0.536789, 0.253553, 0.389915
 0.523845, 0.227657, 0.391092
